itemid,shopid,name,variations,brand,shop_location,view_count,sold,rating_star,rating_count(1* - 5*),price
2128827654,29627406,nước thần đậm đặc dòng cao cấp phiên bản mới nhất Losec Summa Essence Sum37 Sample,[''],,TP. Hồ Chí Minh,2779,555,4.974600188146755,"[5, 0, 1, 5]","[450000000, 450000000]"
972348641,9870783,Miếng lẻ mặt nạ tràm trà giảm mụn Naruko,"['Trung', 'Đài']",NARUKO,Hà Nội,3577,501,4.969135802469136,"[3, 1, 3, 19]","[1200000000, 2300000000]"
6207562462,507430,[NEW]Nước hoa hồng Simple Kind-to-Skin Soothing Facial Toner 200ml,[''],,TP. Hồ Chí Minh,17049,441,4.982712765957447,"[2, 0, 0, 5]","[8500000000, 8500000000]"
845465208,249374,"Sữa rửa mặt La Roche-Posay Effaclar 50ml-400ml cho da dầu, mụn, nhạy cảm - Cila House","['Tuýp 50ml', '400ml Không Vòi', '400ml Có Vòi']",LA ROCHE-POSAY,Hà Nội,29590,378,4.955638034641216,"[11, 11, 17, 140]","[13900000000, 41900000000]"
3329155099,22823111,Tinh chất bí đao cocoon 70ml serum Winter melon,[''],cocoon,TP. Hồ Chí Minh,15470,369,4.963461538461538,"[1, 4, 5, 31]","[20900000000, 20900000000]"
6502344735,58399260,Mặt nạ trái Đào dưỡng da hồng hào mịn màng BEIIINGMEI,[''],No Brand,Hà Nội,2145,345,4.978453738910012,"[2, 0, 1, 7]","[320000000, 320000000]"
2058498748,29627406,kem dưỡng trắng căng bóng chống nhăn Glow cream Sulwhasoo sample,[''],,TP. Hồ Chí Minh,1169,291,4.995203836930456,"[0, 0, 1, 0]","[585000000, 585000000]"
1083519706,59469481,Sữa Rửa Mặt Innisfree Cleansing Foam 150ml,"['Trà Xanh - 150ml', 'Tro Núi Lửa -150ml', 'Bija Trouble - 150ml', 'Apple - 150ml', 'Brightening-Trắng da', 'Volcanic Pore Scrub', 'Shaving & Cleansing', 'Green Tea Morning', 'Super Volcanic 2X']",,TP. Hồ Chí Minh,8767,278,4.962085308056872,"[7, 0, 8, 48]","[14500000000, 17900000000]"
4536078466,22823111,Nước tẩy trang hoa hồng cocoon 500ml (rose micellar water),[''],cocoon,TP. Hồ Chí Minh,24627,264,4.963716327652556,"[2, 4, 7, 32]","[26125000000, 26125000000]"
6333485267,10133473,LAIKOU – Mặt nạ ngủ Hoa Anh đào dưỡng ẩm phục hồi sáng da gói nhỏ tiện lợi du lịch,[''],No Brand,Hà Nội,2556,268,4.978523489932886,"[2, 0, 1, 6]","[350000000, 350000000]"
4862032805,26460606,Bông tẩy trang 3 lớp Cotton Pads túi 222 miếng,['Bông 222'],No Brand,Hà Nội,3863,258,4.965762561138284,"[3, 3, 13, 37]","[3500000000, 3500000000]"
1077705631,61922582,Nước hoa hồng NIVEA Extra White dưỡng trắng da & se khít lỗ chân lông (200ml) - 86720,[''],0,TP. Hồ Chí Minh,6944,257,4.958154263741235,"[12, 9, 25, 60]","[8300000000, 8300000000]"
144937694,14879703,Kem dưỡng thể 2% BHA Paula's Choice RESIST WEIGHTLESS BODY TREATMENT WITH 2% BHA 210ml,"['210ml', '60ml']",,Hà Nội,17134,254,4.966513460275771,"[2, 1, 2, 36]","[89900000000, 89900000000]"
4325786981,167114296,Sữa Rửa Mặt Dưỡng Ẩm Và Làm Sạch Da Skin1004 Madagascar Centella Ampoule Foam 125ml,[''],,TP. Hồ Chí Minh,11945,251,4.9689564068692205,"[2, 2, 3, 30]","[23900000000, 23900000000]"
1642130681,92710145,Sữa Rửa Mặt Dạng Gel Cosrx Low pH Good Morning Gel Cleanser,[''],,Hà Nội,3335,218,4.9695238095238095,"[0, 0, 6, 20]","[19000000000, 19000000000]"
33910086,1924117,[Mã SKAMSALE06 giảm 10% tối đa 100K đơn 150K] Sữa rửa mặt trà xanh Innisfree Green Tea Foam Cleanser 150ml,"['#Tuýp 150ml', '#Mini 80ml']",innisfree,TP. Hồ Chí Minh,3847,202,4.974253347064882,"[3, 0, 2, 9]","[14900000000, 14900000000]"
219912380,9359688,"Mặt Nạ Mắt Collagen Crystal US Eye Mask Dưỡng Ẩm, Mờ Quầng Thâm, Tan Bọng Mắt, Da Mềm Mịn, Đôi Mắt Đẹp Mask Chính Hãng",[''],,TP. Hồ Chí Minh,564,192,4.985401459854015,"[0, 0, 1, 6]","[250000000, 250000000]"
4942598682,285400998,Mặt nạ ngủ Laneige,[''],No Brand,TP. Hồ Chí Minh,8917,179,4.986666666666666,"[0, 0, 2, 4]","[4900000000, 4900000000]"
3720052627,8252086,Miếng dán mụn Some By Mi Clear Spot Patch,[''],Some By Mi,TP. Hồ Chí Minh,3261,172,4.968623481781377,"[1, 2, 4, 13]","[6500000000, 6500000000]"
1256353584,31897126,"[Mã SKAMSALE06 giảm 10% tối đa 100K đơn 150K] Serum Teana B3 giảm viêm, đỏ, mờ thâm, sẹo mụn, dưỡng sáng đều màu da","['b3 5 ống', 'b3 nguyên hộp']",,Hà Nội,8635,161,4.961611374407583,"[3, 1, 11, 44]","[18000000000, 29500000000]"
1462548582,77910276,[Meoheo] Hsd 2023 Tinh chất Vitamin C Serum 30ml Mad Hippie,"['Có hộp nguyên seal', 'Ko hộp nguyên seal', '3 mẫu thử tự chọn']",No Brand,TP. Hồ Chí Minh,7837,159,4.975874547647768,"[0, 1, 1, 15]","[10900000000, 53500000000]"
2523130167,107632788,Mặt Nạ Dưỡng Làm Mờ Quầng Thâm Mắt Collagen Crystal Eyes -QM17-D10T3,[''],No Brand,Hà Nội,898,163,4.972696245733788,"[2, 2, 3, 15]","[237500000, 237500000]"
634728638,8252086,Nước tẩy trang Simple Micellar Cleansing Water,[''],Simple,TP. Hồ Chí Minh,3263,156,4.969465648854962,"[3, 0, 6, 16]","[11000000000, 11000000000]"
6422379305,157995825,Nước Tẩy Trang Không cồn Dưỡng Trắng Da Chiết Xuất Hoa Anh Đào Senka All Clear Water Micellar Formula #White,"['230ml', '70ml']",Senka,TP. Hồ Chí Minh,3880,140,4.970434782608696,"[2, 0, 2, 22]","[4900000000, 7900000000]"
3933387561,979943,Kem chống nắng Rosie Seoul Rose First Essence Whitening Serum Sunscreen,[''],No Brand,TP. Hồ Chí Minh,4533,135,4.985454545454545,"[0, 0, 2, 4]","[17900000000, 17900000000]"
21331988,1954539,Kem chống nắng Karadium Snail Repair,[''],,Hà Nội,4728,135,4.982993197278912,"[0, 0, 1, 8]","[16900000000, 16900000000]"
72973887,979943,Mẫu 2020 Kem chống nắng Innisfree tone up no sebum sun cream SPF50,[''],innisfree,TP. Hồ Chí Minh,3544,111,4.966689326988443,"[2, 1, 8, 22]","[21500000000, 21500000000]"
632565254,20895938,MASK THẢI ĐỘC SU:M 37,"['Mask đen', 'Mask trắng', 'Combo 5m ĐEN', 'Combo 5m TRẮNG', 'Combo 5m MIX']",Su:m37,Hà Nội,1597,100,4.986742424242424,"[0, 0, 1, 5]","[1200000000, 5000000000]"
1785558160,979943,Tinh chất tái tạo da Red Peel Tingle Serum 35ml,"['Facial peeling', 'Bị lỗi vỏ hộp']",No Brand,TP. Hồ Chí Minh,7045,94,4.95859872611465,"[4, 4, 9, 71]","[31500000000, 31500000000]"
7505973567,16342099,(BẢN ĐÀI - CÓ SẴN) MIẾNG LẺ MẶT NẠ DR MORITA CÁC LOẠI,"['SAKE XANH', 'VỎ TRỨNG VÀNG', 'MORE PROTECTION', 'NƯỚC THẦN XANH', 'NƯỚC THẦN TRẮNG', 'NƯỚC THẦN TÍM', 'TRÀM TRÀ', 'Ý DĨ', 'DƯA LEO & LÔ HỘI', 'NGỌC TRAI ĐEN', 'HA', 'COLLAGEN', 'TRÀM TRÀ CAM THẢO']",,TP. Hồ Chí Minh,661,88,4.9820554649265905,"[0, 1, 0, 8]","[1950000000, 2250000000]"
1936912580,14073566,Tinh Chất AHC Capture Solution Max Ampoule 50ml,"['#hồng', '#xanh', '#vàng', '# Xanh Mẫu Mới', '# Vàng Mẫu Mới', '# Đỏ Mẫu Mới', '# Hồng mới', '# Xanh lá mới', '# Tím mới']",,Hà Nội,2846,87,4.962759204401185,"[7, 2, 13, 28]","[18500000000, 18900000000]"
843840795,528912,Sữa rửa mặt da dầu mụn Effaclar La roche posay,"['400ml', '300ml', '400ml chai xấu', 'túi 400ml', 'chai 400ml không vòi']",No Brand,Hà Nội,3117,66,4.981954887218045,"[1, 0, 1, 6]","[35500000000, 38500000000]"
638365908,14073566,Combo 10 miếng mặt nạ 3D Foodaholic,"['Viết quất', 'đậu xanh', 'Lựu', 'Khoai Tây', 'Collagen', 'Dưa chuột', 'Sên', 'Sâm', 'Green Tea', 'Cam', 'Mật Ong', 'Cà chua ', 'Lô hội', 'mix ngẫu nhiển', 'Lúa mạch', 'Q10']",No Brand,Hà Nội,1232,65,4.983957219251337,"[0, 0, 1, 7]","[6000000000, 6000000000]"
